Brand;Year;Model;Used or New;Transmission;Cylinder.Enginer;Cylinder.Engine2;Liters.Engine;Liters.Engine2;Engine2;Drive Type;Fuel Type;Kilometres;Location;Country;Body Type;Doors;Doors2;Seats;Seats2;Price
Volkswagen;2021;Polo;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;Front;Premium;67064;Midland, WA;Europe;Hatchback;5; 5 Doors;5; 5 Seats;35990
Mitsubishi;2021;ASX;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;Front;Unleaded;70788;Morley, WA;Asia;SUV;4; 4 Doors;5; 5 Seats;25998
MG;2021;HS;USED;Automatic;4;4 cyl;1.5;1.5 L;4 cyl, 1.5 L;Front;Unleaded;38763;Bentley, WA;Europe;SUV;4; 4 Doors;5; 5 Seats;28588
MG;2021;HS;USED;Automatic;4;4 cyl;1.5;1.5 L;4 cyl, 1.5 L;Front;Unleaded;36624;Bentley, WA;Europe;SUV;4; 4 Doors;5; 5 Seats;28988
Mazda;2021;CX-30;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;Front;Unleaded;28997;Maddington, WA;Asia;SUV;4; 4 Doors;5; 5 Seats;35989
Mazda;2021;CX-3;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;AWD;Unleaded;20590;Myaree, WA;Asia;SUV;4; 4 Doors;5; 5 Seats;36888
Nissan;2021;Qashqai;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;Front;Unleaded;70205;Osborne Park, WA;Asia;SUV;4; 4 Doors;5; 5 Seats;27990
MG;2021;HS;USED;Automatic;4;4 cyl;1.5;1.5 L;4 cyl, 1.5 L;Front;Unleaded;31560;Maddington, WA;Europe;SUV;4; 4 Doors;5; 5 Seats;26990
Subaru;2021;Forester;USED;Automatic;4;4 cyl;2.5;2.5 L;4 cyl, 2.5 L;AWD;Unleaded;60100;Bentley, WA;Asia;SUV;4; 4 Doors;5; 5 Seats;34980
Hyundai;2021;I30;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;Front;Unleaded;21173;Victoria Park, WA;Asia;Hatchback;4; 4 Doors;5; 5 Seats;27999
LDV;2021;D90;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;4WD;Diesel;51988;Morley, WA;Europe;SUV;4; 4 Doors;7; 7 Seats;33950
Toyota;2021;Corolla;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;Front;Unleaded;34458;Bentley, WA;Asia;Hatchback;5; 5 Doors;5; 5 Seats;29388
Isuzu;2021;D-MAX;USED;Automatic;4;4 cyl;1.9;1.9 L;4 cyl, 1.9 L;Front;Diesel;3212;Cannington, WA;Asia;Ute / Tray;2; 2 Doors;2; 2 Seats;38888
